X|Y|Z|Yaw|ImagePath|Classification|GridLabel|BooleanShow|Notes|Position|FlagColor
5.762628375783131|2.9456630067609426|1.2490985408512638|0.0|images_2025_01_23_2/12325 run5/DJI_0777.JPG|diagonal|149|1|This is a note.|11|#F57C00
6.111723778736643|1.9903539267094568|0.9606657043186708|0.0|images_2025_01_23_2/12325 run5/DJI_0778.JPG|diagonal|2399|1|This is a note.|12|#D32F2F
6.111723778736643|2.8182884627540776|0.998431505271582|-84.52883148193357|images_2025_01_23_2/12325 run5/DJI_0779.JPG|negative|149|1|This is a note.|11|#F57C00
5.064437569876106|2.9456630067609426|0.8963246360508488|-84.52883148193357|images_2025_01_23_2/12325 run5/DJI_0780.JPG|negative|149|1|This is a note.|11|#F57C00
6.111723778736643|0.0797357666064879|0.8704299941746281|-84.52883148193357|images_2025_01_23_2/12325 run5/DJI_0781.JPG|negative|7359|1|This is a note.|13|#388E3C
3.8775131998341648|-3.359376921578858|0.8377280250278996|-84.52883148193357|images_2025_01_23_2/12325 run5/DJI_0782.JPG|negative|15960|1|This is a note.|14|#388E3C
3.947332280424868|-3.359376921578858|0.8159762039867924|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0783.JPG|negative|15960|1|This is a note.|14|#388E3C
3.3887796356992483|-3.359376921578858|0.8145276919094608|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0784.JPG|negative|15960|1|This is a note.|14|#388E3C
3.668055958062058|-3.359376921578858|1.822437287875799|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0785.JPG|negative|15960|1|This is a note.|14|#388E3C
2.900046071564331|-3.359376921578858|1.5810638681141418|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0786.JPG|negative|15960|1|This is a note.|14|#388E3C
2.4113125074294137|-3.359376921578858|1.5929447427479304|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0787.JPG|negative|15960|1|This is a note.|14|#388E3C
1.7131217015223887|-3.359376921578858|1.590464116641668|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0788.JPG|negative|15935|1|This is a note.|15|#388E3C
1.573483540340984|-3.359376921578858|1.5986746564594785|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0789.JPG|negative|15935|1|This is a note.|15|#388E3C
0.7356545732525541|-3.359376921578858|1.602729441234259|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0790.JPG|negative|15922|1|This is a note.|16|#388E3C
-0.1719934744265776|-3.359376921578858|1.619542719432501|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0791.JPG|negative|15909|1|This is a note.|17|#388E3C
-1.5683750862406272|-3.359376921578858|1.6447665706364194|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0792.JPG|negative|15889|1|This is a note.|18|#388E3C
-2.336384972738354|-3.359376921578858|1.649920465060858|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0793.JPG|negative|15878|1|This is a note.|19|#388E3C
-4.989510035185048|-0.9392605854484292|1.6371779456821962|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0794.JPG|negative|9440|1|This is a note.|20|#388E3C
-4.989510035185048|-0.6845114974347002|1.5699952855793518|-176.0948486328124|images_2025_01_23_2/12325 run5/DJI_0795.JPG|negative|9440|1|This is a note.|20|#388E3C
